@frequency,dataset_code,dataset_name,FREQ,Frequency,indexed_at,Indicator,INDICATOR,original_period,original_value,period,provider_code,REF_AREA,Reference Area,series_code,series_name,value
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2007-Q1,73819.58375475,13514.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",73819.58375475
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2007-Q2,72558.08349098,13604.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",72558.0834909797
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2007-Q3,74746.68429422,13695.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",74746.6842942202
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2007-Q4,79482.12054417,13787.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",79482.1205441672
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2008-Q1,84994.50054983,13879.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",84994.5005498344
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2008-Q2,74430.25973216,13970.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",74430.2597321626
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2008-Q3,72107.87680945,14061.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",72107.8768094521
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2008-Q4,60776.44772364,14153.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",60776.447723638
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2009-Q1,56232.4062685,14245.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",56232.4062685004
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2009-Q2,59704.22793456,14335.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",59704.2279345599
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2009-Q3,66102.67857351,14426.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",66102.6785735119
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2009-Q4,67412.2883178,14518.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",67412.288317802
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2010-Q1,65813.49747146,14610.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",65813.497471463
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2010-Q2,72679.32774059,14700.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",72679.3277405923
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2010-Q3,76933.55405338,14791.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",76933.554053384
